dt,dt_iso,city_name,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,rain_1h,clouds_all,weather_description
,2023-03-20 04:00:00 +0000 UTC,,5.5,3.3,2.3,18.5,,1021.2,997.4,92,1.5,,30.0,
,2023-03-20 05:00:00 +0000 UTC,,5.6,3.4,2.3,18.5,,1021.2,997.4,91,1.5,,30.0,
,2023-03-20 06:00:00 +0000 UTC,,4.8,2.3,2.3,18.5,,1021.2,997.3,92,1.9,,30.0,
,2023-03-20 07:00:00 +0000 UTC,,6.8,5.2,2.3,18.5,,1021.6,997.9,84,0.45,,30.0,
,2023-03-20 08:00:00 +0000 UTC,,8.0,6.7,2.3,18.5,,1022.1,998.5,85,0.4,,30.0,
,2023-03-20 09:00:00 +0000 UTC,,11.1,10.1,2.3,18.5,,1022.2,998.8,79,0.63,,30.0,
,2023-03-20 10:00:00 +0000 UTC,,14.1,13.5,2.3,18.5,,1022.2,999.1,70,0.6,,29.0,
,2023-03-20 11:00:00 +0000 UTC,,16.3,16.0,2.3,18.5,,1022.0,999.0,67,1.44,,30.0,
,2023-03-20 12:00:00 +0000 UTC,,18.5,17.9,2.3,18.5,,1021.7,998.9,55,2.69,,29.0,
,2023-03-20 13:00:00 +0000 UTC,,19.1,18.5,2.3,18.5,,1021.3,998.6,54,3.22,,30.0,
,2023-03-20 14:00:00 +0000 UTC,,19.0,18.1,2.3,18.5,,1020.9,998.2,56,3.68,,29.0,
,2023-03-20 15:00:00 +0000 UTC,,18.0,17.0,2.3,18.5,,1020.7,997.9,63,3.62,,4.0,
,2023-03-20 16:00:00 +0000 UTC,,16.6,15.0,2.3,18.5,,1020.6,997.7,68,3.47,,0.0,
,2023-03-20 17:00:00 +0000 UTC,,14.9,13.0,2.3,18.5,,1021.0,997.9,70,3.5,,1.0,
,2023-03-20 18:00:00 +0000 UTC,,13.2,11.9,2.3,18.5,,1021.1,997.9,76,2.0,,0.0,
,2023-03-20 19:00:00 +0000 UTC,,10.2,8.8,2.3,18.5,,1021.2,997.8,86,1.75,,7.0,
,2023-03-20 20:00:00 +0000 UTC,,8.6,7.0,2.3,18.5,,1021.3,997.7,92,1.79,,4.0,
,2023-03-20 21:00:00 +0000 UTC,,7.9,6.1,2.3,18.5,,1021.8,998.2,93,1.97,,14.0,
,2023-03-20 22:00:00 +0000 UTC,,9.0,7.7,2.3,18.5,,1022.1,998.5,91,1.36,,16.0,
,2023-03-20 23:00:00 +0000 UTC,,9.3,8.2,2.3,18.5,,1022.0,998.5,91,1.02,,30.0,
,2023-03-21 00:00:00 +0000 UTC,,9.0,8.2,6.4,16.4,,1022.1,998.5,93,0.58,,64.0,
,2023-03-21 01:00:00 +0000 UTC,,7.8,6.4,6.4,16.4,,1021.8,998.2,96,1.3,,100.0,
,2023-03-21 02:00:00 +0000 UTC,,8.9,7.8,6.4,16.4,,1021.8,998.2,93,0.92,,100.0,
,2023-03-21 03:00:00 +0000 UTC,,9.3,8.4,6.4,16.4,,1021.1,997.6,93,0.76,,90.0,
,2023-03-21 04:00:00 +0000 UTC,,9.5,8.5,6.4,16.4,,1020.8,997.3,92,1.12,,89.0,
,2023-03-21 05:00:00 +0000 UTC,,9.5,8.6,6.4,16.4,,1020.8,997.3,92,1.06,,91.0,
,2023-03-21 06:00:00 +0000 UTC,,9.3,8.3,6.4,16.4,,1020.9,997.4,93,1.2,,93.0,
,2023-03-21 07:00:00 +0000 UTC,,9.6,8.3,6.4,16.4,,1020.8,997.3,92,1.63,,90.0,
,2023-03-21 08:00:00 +0000 UTC,,10.2,9.3,6.4,16.4,,1021.3,997.9,90,1.06,,90.0,
,2023-03-21 09:00:00 +0000 UTC,,11.4,11.1,6.4,16.4,,1021.5,998.2,88,0.3,,30.0,
,2023-03-21 10:00:00 +0000 UTC,,12.9,12.8,6.4,16.4,,1021.6,998.4,84,0.32,,31.0,
,2023-03-21 11:00:00 +0000 UTC,,14.4,14.0,6.4,16.4,,1021.5,998.4,75,0.95,,38.0,
,2023-03-21 12:00:00 +0000 UTC,,15.2,14.7,6.4,16.4,,1021.0,998.0,67,1.39,,4.0,
,2023-03-21 13:00:00 +0000 UTC,,16.2,16.3,6.4,16.4,,1020.1,997.2,62,1.43,,33.0,
,2023-03-21 14:00:00 +0000 UTC,,16.7,16.4,6.4,16.4,,1019.7,996.8,62,2.18,,33.0,
,2023-03-21 15:00:00 +0000 UTC,,16.8,16.4,6.4,16.4,,1018.9,996.0,64,2.0,,14.0,
,2023-03-21 16:00:00 +0000 UTC,,16.4,15.1,6.4,16.4,,1018.5,995.6,69,2.9,,11.0,
,2023-03-21 17:00:00 +0000 UTC,,15.1,13.6,6.4,16.4,,1018.8,995.8,74,3.3,,33.0,
,2023-03-21 18:00:00 +0000 UTC,,13.4,12.0,6.4,16.4,,1018.9,995.8,81,2.93,,23.0,
,2023-03-21 19:00:00 +0000 UTC,,10.6,9.7,6.4,16.4,,1019.1,995.7,93,1.6,,30.0,
,2023-03-21 20:00:00 +0000 UTC,,9.8,8.7,6.4,16.4,,1019.5,996.1,93,1.48,,30.0,
,2023-03-21 21:00:00 +0000 UTC,,8.3,6.9,6.4,16.4,,1019.8,996.2,97,1.56,,30.0,
,2023-03-21 22:00:00 +0000 UTC,,8.0,6.7,6.4,16.4,,1019.9,996.3,99,1.32,,30.0,
,2023-03-21 23:00:00 +0000 UTC,,9.2,8.5,6.4,16.4,,1019.5,996.0,98,0.94,,30.0,
,2023-03-22 00:00:00 +0000 UTC,,8.8,7.6,7.6,12.5,,1019.4,995.9,97,1.56,,34.0,
,2023-03-22 01:00:00 +0000 UTC,,9.1,8.1,7.6,12.5,,1019.0,995.5,97,1.14,,70.0,
,2023-03-22 02:00:00 +0000 UTC,,8.9,7.9,7.6,12.5,,1018.5,995.0,98,1.28,,100.0,
,2023-03-22 03:00:00 +0000 UTC,,9.0,8.1,7.6,12.5,,1018.1,994.6,97,1.2,,100.0,
,2023-03-22 04:00:00 +0000 UTC,,8.8,7.8,7.6,12.5,,1017.8,994.3,96,1.2,,100.0,
,2023-03-22 05:00:00 +0000 UTC,,9.0,7.9,7.6,12.5,,1017.7,994.2,94,1.35,,100.0,
,2023-03-22 06:00:00 +0000 UTC,,9.3,7.7,7.6,12.5,,1017.7,994.3,90,1.98,,100.0,
,2023-03-22 07:00:00 +0000 UTC,,9.1,7.6,7.6,12.5,,1017.8,994.4,92,1.94,,100.0,
,2023-03-22 08:00:00 +0000 UTC,,9.9,8.3,7.6,12.5,,1018.1,994.7,92,2.42,,100.0,
,2023-03-22 09:00:00 +0000 UTC,,11.0,9.4,7.6,12.5,,1018.3,995.0,88,2.59,,100.0,
,2023-03-22 10:00:00 +0000 UTC,,12.3,10.6,7.6,12.5,,1018.1,994.9,79,2.6,,100.0,
,2023-03-22 11:00:00 +0000 UTC,,13.3,11.3,7.6,12.5,,1018.0,994.9,72,3.09,,100.0,
,2023-03-22 12:00:00 +0000 UTC,,13.5,11.4,7.6,12.5,,1018.1,995.0,71,3.31,,100.0,
,2023-03-22 13:00:00 +0000 UTC,,14.5,12.1,7.6,12.5,,1017.9,994.9,66,3.64,,100.0,
,2023-03-22 14:00:00 +0000 UTC,,14.8,12.3,7.6,12.5,,1017.2,994.2,64,3.78,,100.0,
,2023-03-22 15:00:00 +0000 UTC,,14.9,12.5,7.6,12.5,,1016.7,993.7,64,3.66,,100.0,
,2023-03-22 16:00:00 +0000 UTC,,14.8,12.2,7.6,12.5,,1016.4,993.4,64,3.97,,100.0,
,2023-03-22 17:00:00 +0000 UTC,,14.1,11.5,7.6,12.5,,1016.5,993.5,66,4.1,,100.0,
,2023-03-22 18:00:00 +0000 UTC,,13.4,11.6,7.6,12.5,,1016.8,993.7,73,2.92,,100.0,
,2023-03-22 19:00:00 +0000 UTC,,12.5,11.1,7.6,12.5,,1016.9,993.8,79,2.22,,100.0,
,2023-03-22 20:00:00 +0000 UTC,,12.1,10.7,7.6,12.5,,1016.8,993.6,84,2.44,,91.0,
,2023-03-22 21:00:00 +0000 UTC,,11.7,10.4,7.6,12.5,,1017.2,994.0,86,2.34,,100.0,
,2023-03-22 22:00:00 +0000 UTC,,11.8,10.4,7.6,12.5,,1017.2,994.0,86,2.31,,100.0,
,2023-03-22 23:00:00 +0000 UTC,,11.8,10.1,7.6,12.5,,1017.0,993.8,85,3.1,,100.0,
,2023-03-23 00:00:00 +0000 UTC,,12.0,10.3,9.8,11.3,,1016.9,993.7,82,2.75,,100.0,
,2023-03-23 01:00:00 +0000 UTC,,12.0,10.2,9.8,11.3,,1016.2,993.0,82,3.09,,100.0,
,2023-03-23 02:00:00 +0000 UTC,,11.8,10.3,9.8,11.3,,1015.7,992.5,83,2.46,,100.0,
,2023-03-23 03:00:00 +0000 UTC,,12.0,10.3,9.8,11.3,,1014.9,991.8,82,2.73,,100.0,
,2023-03-23 04:00:00 +0000 UTC,,12.1,10.3,9.8,11.3,,1014.5,991.4,80,2.91,,100.0,
,2023-03-23 05:00:00 +0000 UTC,,12.0,10.1,9.8,11.3,,1014.3,991.2,80,3.05,,100.0,
