Company Name,Model Name,Model Year,Kilometers,Engine Type,Engine Capacity,Assembly,Body Type,Transmission Type,Registration Status,Price,Mapped_colors
7,41,2016,25884,2,660,0,1,0,1,2135000,3
28,53,2015,258589,2,1600,1,4,0,0,2550000,3
28,136,2006,143231,2,1300,0,5,0,0,1700000,0
27,14,2009,144840,2,1000,1,1,1,0,775000,2
27,58,2013,96560,2,1000,1,1,1,0,875000,2
7,113,2013,144840,2,660,0,1,0,0,1350000,3
28,53,2014,112654,2,1300,1,4,0,0,2075000,2
10,49,2010,337962,2,1800,1,4,1,0,1245000,2
27,103,2008,209214,2,660,0,2,0,0,1050000,3
21,98,1990,273588,2,1300,1,4,1,0,175000,0
28,53,2000,262323,2,1300,1,4,1,0,600000,2
27,94,1996,160934,2,1000,1,1,1,0,450000,0
28,53,2014,140012,2,1300,1,4,1,0,1625000,0
28,181,2004,289681,2,1000,0,1,0,0,1150000,1
27,108,2002,177027,2,800,1,1,1,0,435000,1
27,168,2011,166301,2,1300,1,1,1,0,1125000,3
28,135,2013,96560,2,1800,0,4,0,0,3300000,2
27,108,2015,72420,2,800,1,1,1,0,760000,2
28,181,2016,121579,2,1000,0,1,0,1,2275000,0
27,168,2018,120700,2,1300,1,1,1,0,1700000,0
28,181,2007,301964,2,1000,0,1,0,0,1210000,2
28,181,2016,32186,2,1000,0,1,0,1,2350000,1
28,53,2010,185074,2,1800,1,4,0,0,1725000,2
10,48,2016,135518,2,1300,1,4,1,0,1950000,0
10,49,2010,106216,2,1800,1,4,0,0,1850000,2
28,181,2016,148059,2,1000,0,1,0,1,2196000,2
28,32,2017,47692,1,1800,0,0,0,0,5700000,0
28,53,1999,149668,2,1600,1,4,1,0,895000,3
28,123,2013,159325,2,1000,0,1,0,0,1525000,1
28,53,2014,157715,2,1300,1,4,1,0,2100000,2
10,179,2017,25749,1,1500,0,0,0,1,4750000,0
10,48,2017,112654,2,1300,1,4,1,0,2145000,0
10,49,2017,72420,2,1800,1,4,0,0,3175000,2
27,183,2016,160934,2,1000,0,1,1,0,1325000,3
20,26,1993,257495,2,2200,0,4,0,0,635000,2
28,53,2016,131966,2,1300,1,4,1,0,2160000,0
28,53,2007,241401,2,1500,0,4,0,0,1950000,2
27,108,2019,10814,2,800,1,1,1,0,1190000,0
