iter	Passed	Remaining
695	3162	1381
696	3166	1376
697	3170	1371
698	3174	1367
699	3179	1362
700	3183	1357
701	3188	1353
702	3193	1349
703	3197	1344
704	3201	1339
705	3205	1335
706	3211	1330
707	3215	1326
708	3220	1321
709	3224	1317
710	3229	1312
711	3232	1307
712	3237	1303
713	3241	1298
714	3245	1293
715	3249	1288
716	3256	1285
717	3261	1281
718	3266	1276
719	3271	1272
720	3275	1267
721	3279	1262
722	3282	1257
723	3287	1253
724	3292	1248
725	3297	1244
726	3302	1239
727	3305	1235
728	3310	1230
729	3313	1225
730	3318	1221
731	3324	1217
732	3329	1212
733	3333	1208
734	3337	1203
735	3342	1198
736	3346	1194
737	3351	1189
738	3357	1185
739	3361	1181
740	3366	1176
741	3370	1171
742	3373	1166
743	3377	1162
744	3382	1157
745	3387	1153
746	3391	1148
747	3395	1143
748	3401	1139
749	3405	1135
750	3409	1130
751	3413	1125
752	3419	1121
753	3424	1117
754	3427	1112
755	3432	1107
756	3436	1103
757	3440	1098
758	3444	1093
759	3449	1089
760	3454	1084
761	3458	1080
762	3462	1075
763	3466	1070
764	3470	1066
765	3474	1061
766	3479	1056
767	3484	1052
768	3488	1047
769	3492	1043
770	3497	1038
771	3500	1033
772	3504	1029
773	3508	1024
774	3513	1020
775	3519	1016
776	3523	1011
777	3528	1006
778	3532	1002
779	3536	997
780	3540	992
781	3544	988
782	3550	983
783	3554	979
784	3557	974
785	3562	969
786	3566	965
787	3570	960
788	3574	955
789	3578	951
790	3583	946
791	3587	942
792	3591	937
793	3596	933
794	3600	928
795	3604	923
796	3609	919
797	3616	915
798	3621	910
799	3625	906
800	3630	901
801	3633	897
802	3638	892
803	3642	888
804	3647	883
805	3651	879
806	3659	875
807	3664	870
808	3670	866
809	3674	861
810	3679	857
811	3683	852
812	3687	848
813	3692	843
814	3696	839
815	3700	834
816	3704	829
817	3710	825
818	3714	820
819	3718	816
820	3722	811
821	3728	807
822	3732	802
823	3736	798
824	3741	793
825	3746	789
826	3749	784
827	3753	779
828	3759	775
829	3763	770
830	3769	766
831	3780	763
832	3785	758
833	3795	755
834	3801	751
835	3810	747
836	3815	742
837	3822	739
838	3833	735
839	3841	731
840	3846	727
841	3851	722
842	3857	718
843	3861	713
844	3865	709
845	3870	704
846	3875	699
847	3878	695
848	3883	690
849	3887	686
850	3891	681
851	3895	676
852	3899	672
853	3905	667
854	3909	663
855	3913	658
856	3917	653
857	3922	649
858	3927	644
859	3931	639
860	3936	635
861	3941	630
862	3945	626
863	3949	621
864	3954	617
865	3958	612
866	3962	607
867	3966	603
868	3971	598
869	3975	594
870	3979	589
871	3984	584
872	3988	580
873	3992	575
874	3995	570
875	4000	566
876	4005	561
877	4009	557
878	4012	552
879	4017	547
880	4021	543
881	4025	538
882	4030	534
883	4036	529
884	4041	525
885	4044	520
886	4049	515
887	4053	511
888	4057	506
889	4061	502
890	4069	497
891	4074	493
892	4080	488
893	4085	484
894	4089	479
895	4092	475
896	4096	470
897	4101	465
898	4106	461
899	4109	456
900	4114	452
901	4118	447
902	4122	442
903	4126	438
904	4132	433
905	4138	429
906	4141	424
907	4147	420
908	4150	415
909	4154	410
910	4158	406
911	4163	401
912	4167	397
913	4171	392
914	4175	387
915	4180	383
916	4184	378
917	4188	374
918	4192	369
919	4197	365
920	4203	360
921	4208	356
922	4214	351
923	4219	347
924	4224	342
925	4231	338
926	4236	333
927	4240	329
928	4247	324
929	4252	320
930	4257	315
931	4263	311
932	4268	306
933	4273	301
934	4279	297
935	4284	292
936	4288	288
937	4294	283
938	4299	279
939	4304	274
940	4309	270
941	4313	265
942	4318	261
943	4324	256
944	4330	252
945	4335	247
946	4339	242
947	4345	238
948	4350	233
949	4355	229
950	4360	224
951	4365	220
952	4370	215
953	4375	210
954	4381	206
955	4385	201
956	4391	197
957	4396	192
958	4401	188
959	4407	183
960	4411	179
961	4415	174
962	4419	169
963	4424	165
964	4429	160
965	4432	156
966	4436	151
967	4441	146
968	4445	142
969	4449	137
970	4453	132
971	4459	128
972	4464	123
973	4468	119
974	4474	114
975	4479	110
976	4484	105
977	4490	101
978	4494	96
979	4498	91
980	4502	87
981	4506	82
982	4510	78
983	4514	73
984	4518	68
985	4523	64
986	4527	59
987	4531	55
988	4536	50
989	4540	45
990	4544	41
991	4548	36
992	4553	32
993	4559	27
994	4563	22
995	4567	18
996	4571	13
997	4575	9
998	4579	4
999	4583	0
